period,hour,demand(MWh),air_temp,precipitable_water,humidity
2023-01-15,6,676.612,7.4,0,85
2023-01-15,7,695.029,6.8,0,85
2023-01-15,8,729.103,6.1,0,82
2023-01-15,9,777.479,6.2,0,81
2023-01-15,10,795.049,5.7,0,82
2023-01-15,11,783.54,5.7,0,80
2023-01-15,12,798.7,5.6,0,75
2023-01-15,13,827.992,5.5,0,76
2023-01-15,14,798.381,5.3,0,74
2023-01-15,15,798.831,5.1,0,71
2023-01-15,16,841.508,5.1,0,71
2023-01-15,17,882.545,5,0,70
2023-01-15,18,911.42,4.8,0,72
2023-01-15,19,933.236,4.6,0,68
2023-01-15,20,918.814,4.6,0,69
2023-01-15,21,902.829,4.3,0,66
2023-01-15,22,874.451,4.1,0,68
2023-01-15,23,855.94,4.1,0,69
2023-01-16,0,845.063,3.9,0,65
2023-01-16,1,801.332,3.8,0,68
2023-01-16,2,761.783,3.7,0,69
2023-01-16,3,740.837,3.7,0,71
2023-01-16,4,737.556,3.5,0,68
2023-01-16,5,745.537,3.8,0,67
2023-01-16,6,766.101,3.8,0,64
2023-01-16,7,803.852,3.9,0,67
2023-01-16,8,863.897,3.8,0,65
2023-01-16,9,915.053,3.9,0,68
2023-01-16,10,892.768,3.5,0,66
2023-01-16,11,872.918,3.6,0,66
2023-01-16,12,847.765,3.6,0,65
2023-01-16,13,813.692,3.8,0,68
2023-01-16,14,841.349,3.6,0,65
2023-01-16,15,843.053,3.5,0,66
2023-01-16,16,851.105,3.6,0,68
2023-01-16,17,902.165,3.1,0,62
2023-01-16,18,1006.155,3.3,0,62
2023-01-16,19,1038.105,3.3,0,67
2023-01-16,20,1021.681,3.4,0,68
2023-01-16,21,990.754,3.1,0,63
2023-01-16,22,954.308,3.1,0,62
2023-01-16,23,928.646,3.2,0,64
2023-01-17,0,909.713,3.2,0,67
2023-01-17,1,848.47,3.5,0,59
2023-01-17,2,801.363,3.6,0,68
2023-01-17,3,788.805,3.7,0,66
2023-01-17,4,775.205,3.6,0,66
2023-01-17,5,771.388,3.8,0,64
2023-01-17,6,782.952,3.8,0,65
2023-01-17,7,809.125,4,0,67
2023-01-17,8,868.967,3.9,0,66
2023-01-17,9,957.216,4.1,0,67
2023-01-17,10,989.497,4.6,0,62
2023-01-17,11,931.559,4.6,0,60
2023-01-17,12,882.338,4.3,0,69
2023-01-17,13,869.699,4.9,0,64
2023-01-17,14,887.33,4.7,0,75
2023-01-17,15,892.711,5.1,0,70
2023-01-17,16,921.481,4.8,0,66
2023-01-17,17,941.93,4.8,0,66
